COU,Indicator,Time,Value,id
CAN,Gender wage gap at 9th decile (top),2010,16.8,124
CAN,Gender wage gap at 9th decile (top),2015,16.3,124
CAN,Gender wage gap at 9th decile (top),2016,15.0,124
CAN,Gender wage gap at 9th decile (top),2017,14.6,124
CAN,Gender wage gap at 9th decile (top),2018,14.3,124
CAN,Gender wage gap at 9th decile (top),2019,14.3,124
CZE,Gender wage gap at 1st decile (bottom),2005,11.9,203
CZE,Gender wage gap at 1st decile (bottom),2010,10.3,203
CZE,Gender wage gap at 1st decile (bottom),2015,7.1,203
CZE,Gender wage gap at 1st decile (bottom),2016,7.5,203
CZE,Gender wage gap at 1st decile (bottom),2017,6.5,203
CZE,Gender wage gap at 1st decile (bottom),2018,5.3,203
CZE,Gender wage gap at 1st decile (bottom),2019,4.6,203
CZE,Gender wage gap at 9th decile (top),2005,24.7,203
CZE,Gender wage gap at 9th decile (top),2010,24.5,203
CZE,Gender wage gap at 9th decile (top),2015,24.7,203
CZE,Gender wage gap at 9th decile (top),2016,23.8,203
CZE,Gender wage gap at 9th decile (top),2017,23.8,203
CZE,Gender wage gap at 9th decile (top),2018,23.2,203
CZE,Gender wage gap at 9th decile (top),2019,22.2,203
DNK,Gender wage gap at 1st decile (bottom),2005,10.3,208
DNK,Gender wage gap at 1st decile (bottom),2010,10.3,208
DNK,Gender wage gap at 1st decile (bottom),2015,8.3,208
DNK,Gender wage gap at 1st decile (bottom),2016,8.7,208
DNK,Gender wage gap at 1st decile (bottom),2017,8.7,208
DNK,Gender wage gap at 1st decile (bottom),2018,8.0,208
DNK,Gender wage gap at 9th decile (top),2005,20.0,208
DNK,Gender wage gap at 9th decile (top),2010,17.6,208
DNK,Gender wage gap at 9th decile (top),2015,14.2,208
DNK,Gender wage gap at 9th decile (top),2016,13.5,208
DNK,Gender wage gap at 9th decile (top),2017,12.8,208
DNK,Gender wage gap at 9th decile (top),2018,12.1,208
FIN,Gender wage gap at 1st decile (bottom),2000,11.3,246
FIN,Gender wage gap at 1st decile (bottom),2005,11.9,246
FIN,Gender wage gap at 1st decile (bottom),2010,9.5,246
FIN,Gender wage gap at 1st decile (bottom),2015,10.6,246
FIN,Gender wage gap at 1st decile (bottom),2016,10.1,246
FIN,Gender wage gap at 1st decile (bottom),2017,9.6,246
FIN,Gender wage gap at 1st decile (bottom),2018,11.9,246
FIN,Gender wage gap at 9th decile (top),2000,29.6,246
FIN,Gender wage gap at 9th decile (top),2005,27.4,246
FIN,Gender wage gap at 9th decile (top),2010,23.3,246
FIN,Gender wage gap at 9th decile (top),2015,23.4,246
FIN,Gender wage gap at 9th decile (top),2016,20.7,246
FIN,Gender wage gap at 9th decile (top),2017,21.1,246
FIN,Gender wage gap at 9th decile (top),2018,23.1,246
FRA,Gender wage gap at 1st decile (bottom),2000,7.9,250
FRA,Gender wage gap at 1st decile (bottom),2005,7.8,250
FRA,Gender wage gap at 1st decile (bottom),2010,4.4,250
FRA,Gender wage gap at 1st decile (bottom),2015,5.6,250
FRA,Gender wage gap at 1st decile (bottom),2016,8.0,250
FRA,Gender wage gap at 9th decile (top),2000,26.6,250
FRA,Gender wage gap at 9th decile (top),2005,25.1,250
FRA,Gender wage gap at 9th decile (top),2010,22.3,250
FRA,Gender wage gap at 9th decile (top),2015,20.9,250
FRA,Gender wage gap at 9th decile (top),2016,21.3,250
DEU,Gender wage gap at 1st decile (bottom),2000,23.3,276
DEU,Gender wage gap at 1st decile (bottom),2005,26.0,276
DEU,Gender wage gap at 1st decile (bottom),2010,21.2,276
DEU,Gender wage gap at 1st decile (bottom),2015,16.4,276
DEU,Gender wage gap at 1st decile (bottom),2016,14.2,276
DEU,Gender wage gap at 1st decile (bottom),2017,13.2,276
DEU,Gender wage gap at 1st decile (bottom),2018,14.5,276
DEU,Gender wage gap at 9th decile (top),2000,29.2,276
DEU,Gender wage gap at 9th decile (top),2005,22.7,276
DEU,Gender wage gap at 9th decile (top),2010,21.8,276
DEU,Gender wage gap at 9th decile (top),2015,24.0,276
DEU,Gender wage gap at 9th decile (top),2016,22.9,276
DEU,Gender wage gap at 9th decile (top),2017,22.9,276
DEU,Gender wage gap at 9th decile (top),2018,22.3,276
GRC,Gender wage gap at 1st decile (bottom),2005,15.5,300
GRC,Gender wage gap at 1st decile (bottom),2010,5.4,300
GRC,Gender wage gap at 1st decile (bottom),2015,4.7,300
GRC,Gender wage gap at 1st decile (bottom),2016,2.8,300
GRC,Gender wage gap at 1st decile (bottom),2017,2.3,300
GRC,Gender wage gap at 1st decile (bottom),2018,6.0,300
GRC,Gender wage gap at 9th decile (top),2005,-5.6,300
GRC,Gender wage gap at 9th decile (top),2010,29.5,300
GRC,Gender wage gap at 9th decile (top),2015,5.0,300
GRC,Gender wage gap at 9th decile (top),2016,4.2,300
GRC,Gender wage gap at 9th decile (top),2017,3.9,300
GRC,Gender wage gap at 9th decile (top),2018,22.4,300
HUN,Gender wage gap at 1st decile (bottom),2000,1.2,348
HUN,Gender wage gap at 1st decile (bottom),2005,-9.5,348
HUN,Gender wage gap at 1st decile (bottom),2010,-1.0,348
HUN,Gender wage gap at 1st decile (bottom),2015,0.0,348
HUN,Gender wage gap at 1st decile (bottom),2016,0.0,348
HUN,Gender wage gap at 9th decile (top),2000,25.4,348
HUN,Gender wage gap at 9th decile (top),2005,19.2,348
HUN,Gender wage gap at 9th decile (top),2010,22.3,348
HUN,Gender wage gap at 9th decile (top),2015,24.6,348
HUN,Gender wage gap at 9th decile (top),2016,24.6,348
ISL,Gender wage gap at 1st decile (bottom),2005,13.4,352
ISL,Gender wage gap at 1st decile (bottom),2010,16.8,352
ISL,Gender wage gap at 1st decile (bottom),2015,5.0,352
ISL,Gender wage gap at 1st decile (bottom),2016,8.5,352
ISL,Gender wage gap at 9th decile (top),2005,22.8,352
ISL,Gender wage gap at 9th decile (top),2010,23.2,352
ISL,Gender wage gap at 9th decile (top),2015,24.8,352
ISL,Gender wage gap at 9th decile (top),2016,19.9,352
JPN,Gender wage gap at 1st decile (bottom),2000,26.8,392
JPN,Gender wage gap at 1st decile (bottom),2005,27.5,392
JPN,Gender wage gap at 1st decile (bottom),2010,22.7,392
JPN,Gender wage gap at 1st decile (bottom),2015,18.5,392
JPN,Gender wage gap at 1st decile (bottom),2016,18.3,392
JPN,Gender wage gap at 1st decile (bottom),2017,17.9,392
JPN,Gender wage gap at 1st decile (bottom),2018,17.2,392
JPN,Gender wage gap at 1st decile (bottom),2019,17.0,392
JPN,Gender wage gap at 9th decile (top),2000,38.9,392
JPN,Gender wage gap at 9th decile (top),2005,38.4,392
JPN,Gender wage gap at 9th decile (top),2010,34.8,392
JPN,Gender wage gap at 9th decile (top),2015,33.1,392
JPN,Gender wage gap at 9th decile (top),2016,32.3,392
JPN,Gender wage gap at 9th decile (top),2017,32.0,392
JPN,Gender wage gap at 9th decile (top),2018,32.7,392
JPN,Gender wage gap at 9th decile (top),2019,31.3,392
KOR,Gender wage gap at 1st decile (bottom),2000,26.9,410
KOR,Gender wage gap at 1st decile (bottom),2005,20.7,410
KOR,Gender wage gap at 1st decile (bottom),2010,20.5,410
KOR,Gender wage gap at 1st decile (bottom),2015,16.1,410
KOR,Gender wage gap at 1st decile (bottom),2016,15.4,410
KOR,Gender wage gap at 1st decile (bottom),2017,10.6,410
KOR,Gender wage gap at 1st decile (bottom),2018,7.6,410
KOR,Gender wage gap at 1st decile (bottom),2019,7.3,410
KOR,Gender wage gap at 9th decile (top),2000,39.5,410
KOR,Gender wage gap at 9th decile (top),2005,41.9,410
KOR,Gender wage gap at 9th decile (top),2010,39.6,410
KOR,Gender wage gap at 9th decile (top),2015,38.7,410
KOR,Gender wage gap at 9th decile (top),2016,38.2,410
KOR,Gender wage gap at 9th decile (top),2017,37.3,410
KOR,Gender wage gap at 9th decile (top),2018,36.2,410
KOR,Gender wage gap at 9th decile (top),2019,35.3,410
MEX,Gender wage gap at 1st decile (bottom),2005,12.5,484
MEX,Gender wage gap at 1st decile (bottom),2010,16.7,484
MEX,Gender wage gap at 1st decile (bottom),2015,14.0,484
MEX,Gender wage gap at 1st decile (bottom),2016,14.3,484
MEX,Gender wage gap at 1st decile (bottom),2017,13.2,484
MEX,Gender wage gap at 1st decile (bottom),2018,12.5,484
MEX,Gender wage gap at 1st decile (bottom),2019,11.1,484
MEX,Gender wage gap at 9th decile (top),2005,16.3,484
MEX,Gender wage gap at 9th decile (top),2010,11.1,484
MEX,Gender wage gap at 9th decile (top),2015,2.0,484
MEX,Gender wage gap at 9th decile (top),2016,7.0,484
MEX,Gender wage gap at 9th decile (top),2017,7.0,484
MEX,Gender wage gap at 9th decile (top),2018,13.2,484
MEX,Gender wage gap at 9th decile (top),2019,10.4,484
NZL,Gender wage gap at 1st decile (bottom),2000,6.7,554
NZL,Gender wage gap at 1st decile (bottom),2005,5.7,554
NZL,Gender wage gap at 1st decile (bottom),2010,2.1,554
NZL,Gender wage gap at 1st decile (bottom),2015,1.9,554
NZL,Gender wage gap at 1st decile (bottom),2016,4.6,554
NZL,Gender wage gap at 1st decile (bottom),2017,3.5,554
NZL,Gender wage gap at 1st decile (bottom),2018,1.4,554
NZL,Gender wage gap at 1st decile (bottom),2019,2.7,554
NZL,Gender wage gap at 9th decile (top),2000,16.7,554
NZL,Gender wage gap at 9th decile (top),2005,20.8,554
NZL,Gender wage gap at 9th decile (top),2010,18.3,554
NZL,Gender wage gap at 9th decile (top),2015,20.3,554
NZL,Gender wage gap at 9th decile (top),2016,19.8,554
NZL,Gender wage gap at 9th decile (top),2017,17.0,554
NZL,Gender wage gap at 9th decile (top),2018,18.4,554
NZL,Gender wage gap at 9th decile (top),2019,16.9,554
NOR,Gender wage gap at 1st decile (bottom),2000,6.5,578
NOR,Gender wage gap at 1st decile (bottom),2005,4.5,578
NOR,Gender wage gap at 1st decile (bottom),2010,3.0,578
NOR,Gender wage gap at 1st decile (bottom),2015,0.6,578
NOR,Gender wage gap at 1st decile (bottom),2016,1.4,578
NOR,Gender wage gap at 1st decile (bottom),2017,0.8,578
NOR,Gender wage gap at 1st decile (bottom),2018,0.6,578
NOR,Gender wage gap at 1st decile (bottom),2019,1.1,578
NOR,Gender wage gap at 9th decile (top),2000,24.1,578
NOR,Gender wage gap at 9th decile (top),2005,22.6,578
NOR,Gender wage gap at 9th decile (top),2010,22.4,578
NOR,Gender wage gap at 9th decile (top),2015,21.4,578
NOR,Gender wage gap at 9th decile (top),2016,20.4,578
NOR,Gender wage gap at 9th decile (top),2017,19.8,578
NOR,Gender wage gap at 9th decile (top),2018,19.1,578
NOR,Gender wage gap at 9th decile (top),2019,18.7,578
PRT,Gender wage gap at 1st decile (bottom),2005,8.6,620
PRT,Gender wage gap at 1st decile (bottom),2010,9.6,620
PRT,Gender wage gap at 1st decile (bottom),2015,2.2,620
PRT,Gender wage gap at 1st decile (bottom),2016,4.8,620
PRT,Gender wage gap at 1st decile (bottom),2017,4.5,620
PRT,Gender wage gap at 1st decile (bottom),2018,1.7,620
PRT,Gender wage gap at 9th decile (top),2005,-3.9,620
PRT,Gender wage gap at 9th decile (top),2010,12.5,620
PRT,Gender wage gap at 9th decile (top),2015,10.4,620
PRT,Gender wage gap at 9th decile (top),2016,14.4,620
PRT,Gender wage gap at 9th decile (top),2017,9.3,620
PRT,Gender wage gap at 9th decile (top),2018,13.1,620
SVK,Gender wage gap at 1st decile (bottom),2005,17.4,703
SVK,Gender wage gap at 1st decile (bottom),2010,5.5,703
SVK,Gender wage gap at 1st decile (bottom),2015,3.8,703
SVK,Gender wage gap at 1st decile (bottom),2016,5.1,703
SVK,Gender wage gap at 1st decile (bottom),2017,5.5,703
SVK,Gender wage gap at 1st decile (bottom),2018,5.8,703
SVK,Gender wage gap at 1st decile (bottom),2019,2.5,703
SVK,Gender wage gap at 9th decile (top),2005,27.6,703
SVK,Gender wage gap at 9th decile (top),2010,24.3,703
SVK,Gender wage gap at 9th decile (top),2015,22.7,703
SVK,Gender wage gap at 9th decile (top),2016,22.9,703
SVK,Gender wage gap at 9th decile (top),2017,23.1,703
SVK,Gender wage gap at 9th decile (top),2018,23.6,703
SVK,Gender wage gap at 9th decile (top),2019,22.5,703
SWE,Gender wage gap at 1st decile (bottom),2000,8.0,752
SWE,Gender wage gap at 1st decile (bottom),2005,5.7,752
SWE,Gender wage gap at 1st decile (bottom),2010,4.5,752
SWE,Gender wage gap at 1st decile (bottom),2015,4.1,752
SWE,Gender wage gap at 1st decile (bottom),2016,3.6,752
SWE,Gender wage gap at 1st decile (bottom),2017,4.3,752
SWE,Gender wage gap at 1st decile (bottom),2018,4.2,752
SWE,Gender wage gap at 1st decile (bottom),2019,3.8,752
SWE,Gender wage gap at 9th decile (top),2000,27.4,752
SWE,Gender wage gap at 9th decile (top),2005,25.3,752
SWE,Gender wage gap at 9th decile (top),2010,21.7,752
SWE,Gender wage gap at 9th decile (top),2015,18.9,752
SWE,Gender wage gap at 9th decile (top),2016,17.9,752
SWE,Gender wage gap at 9th decile (top),2017,16.7,752
SWE,Gender wage gap at 9th decile (top),2018,15.3,752
SWE,Gender wage gap at 9th decile (top),2019,14.8,752
GBR,Gender wage gap at 1st decile (bottom),2000,20.0,826
GBR,Gender wage gap at 1st decile (bottom),2005,15.0,826
GBR,Gender wage gap at 1st decile (bottom),2010,13.7,826
GBR,Gender wage gap at 1st decile (bottom),2015,12.6,826
GBR,Gender wage gap at 1st decile (bottom),2016,11.8,826
GBR,Gender wage gap at 1st decile (bottom),2017,11.4,826
GBR,Gender wage gap at 1st decile (bottom),2018,10.9,826
GBR,Gender wage gap at 1st decile (bottom),2019,10.2,826
GBR,Gender wage gap at 9th decile (top),2000,27.9,826
GBR,Gender wage gap at 9th decile (top),2005,25.9,826
GBR,Gender wage gap at 9th decile (top),2010,25.3,826
GBR,Gender wage gap at 9th decile (top),2015,23.0,826
GBR,Gender wage gap at 9th decile (top),2016,22.5,826
GBR,Gender wage gap at 9th decile (top),2017,22.3,826
GBR,Gender wage gap at 9th decile (top),2018,22.5,826
GBR,Gender wage gap at 9th decile (top),2019,21.5,826
USA,Gender wage gap at 1st decile (bottom),2000,13.7,840
USA,Gender wage gap at 1st decile (bottom),2005,11.8,840
USA,Gender wage gap at 1st decile (bottom),2010,10.9,840
USA,Gender wage gap at 1st decile (bottom),2015,9.7,840
USA,Gender wage gap at 1st decile (bottom),2016,8.7,840
USA,Gender wage gap at 1st decile (bottom),2017,9.9,840
USA,Gender wage gap at 1st decile (bottom),2018,13.1,840
USA,Gender wage gap at 1st decile (bottom),2019,14.7,840
USA,Gender wage gap at 9th decile (top),2000,29.0,840
USA,Gender wage gap at 9th decile (top),2005,26.0,840
USA,Gender wage gap at 9th decile (top),2010,22.9,840
USA,Gender wage gap at 9th decile (top),2015,22.4,840
USA,Gender wage gap at 9th decile (top),2016,23.5,840
USA,Gender wage gap at 9th decile (top),2017,22.2,840
USA,Gender wage gap at 9th decile (top),2018,21.6,840
USA,Gender wage gap at 9th decile (top),2019,23.6,840
COL,Gender wage gap at 1st decile (bottom),2010,33.3,170
COL,Gender wage gap at 1st decile (bottom),2015,31.3,170
COL,Gender wage gap at 1st decile (bottom),2016,23.1,170
COL,Gender wage gap at 1st decile (bottom),2017,33.3,170
COL,Gender wage gap at 1st decile (bottom),2018,29.2,170
COL,Gender wage gap at 1st decile (bottom),2019,25.0,170
COL,Gender wage gap at 9th decile (top),2010,-7.7,170
COL,Gender wage gap at 9th decile (top),2015,-7.0,170
COL,Gender wage gap at 9th decile (top),2016,-6.1,170
COL,Gender wage gap at 9th decile (top),2017,-8.7,170
COL,Gender wage gap at 9th decile (top),2018,-9.9,170
COL,Gender wage gap at 9th decile (top),2019,-12.7,170
CRI,Gender wage gap at 1st decile (bottom),2010,22.6,188
CRI,Gender wage gap at 1st decile (bottom),2015,26.1,188
CRI,Gender wage gap at 1st decile (bottom),2016,27.8,188
CRI,Gender wage gap at 1st decile (bottom),2017,27.2,188
CRI,Gender wage gap at 1st decile (bottom),2018,30.5,188
CRI,Gender wage gap at 9th decile (top),2010,-18.6,188
CRI,Gender wage gap at 9th decile (top),2015,-23.6,188
CRI,Gender wage gap at 9th decile (top),2016,-18.4,188
CRI,Gender wage gap at 9th decile (top),2017,-19.7,188
CRI,Gender wage gap at 9th decile (top),2018,-22.9,188
ISR,Gender wage gap at 1st decile (bottom),2005,17.2,376
ISR,Gender wage gap at 1st decile (bottom),2010,15.3,376
ISR,Gender wage gap at 1st decile (bottom),2015,16.2,376
ISR,Gender wage gap at 1st decile (bottom),2016,13.4,376
ISR,Gender wage gap at 1st decile (bottom),2017,16.5,376
ISR,Gender wage gap at 1st decile (bottom),2018,19.4,376
ISR,Gender wage gap at 9th decile (top),2005,27.2,376
ISR,Gender wage gap at 9th decile (top),2010,28.2,376
ISR,Gender wage gap at 9th decile (top),2015,28.5,376
ISR,Gender wage gap at 9th decile (top),2016,29.9,376
ISR,Gender wage gap at 9th decile (top),2017,30.9,376
ISR,Gender wage gap at 9th decile (top),2018,29.8,376
AUS,Gender wage gap at median,2000,17.2,036
AUS,Gender wage gap at median,2005,15.8,036
AUS,Gender wage gap at median,2010,14.0,036
AUS,Gender wage gap at median,2015,13.0,036
AUS,Gender wage gap at median,2016,11.5,036
AUS,Gender wage gap at median,2017,11.7,036
AUS,Gender wage gap at median,2018,11.7,036
AUT,Gender wage gap at median,2000,23.1,040
AUT,Gender wage gap at median,2005,22.0,040
AUT,Gender wage gap at median,2010,19.2,040
AUT,Gender wage gap at median,2015,17.0,040
AUT,Gender wage gap at median,2016,15.7,040
AUT,Gender wage gap at median,2017,15.4,040
AUT,Gender wage gap at median,2018,14.9,040
BEL,Gender wage gap at median,2000,13.6,056
BEL,Gender wage gap at median,2005,11.5,056
BEL,Gender wage gap at median,2010,7.0,056
BEL,Gender wage gap at median,2015,4.7,056
BEL,Gender wage gap at median,2016,3.7,056
BEL,Gender wage gap at median,2017,4.2,056
CAN,Gender wage gap at median,2000,23.9,124
CAN,Gender wage gap at median,2005,21.3,124
CAN,Gender wage gap at median,2010,19.0,124
CAN,Gender wage gap at median,2015,18.6,124
CAN,Gender wage gap at median,2016,18.2,124
CAN,Gender wage gap at median,2017,18.2,124
CAN,Gender wage gap at median,2018,18.5,124
CAN,Gender wage gap at median,2019,17.6,124
CZE,Gender wage gap at median,2005,15.9,203
CZE,Gender wage gap at median,2010,15.8,203
CZE,Gender wage gap at median,2015,16.5,203
CZE,Gender wage gap at median,2016,16.0,203
CZE,Gender wage gap at median,2017,15.6,203
CZE,Gender wage gap at median,2018,15.1,203
CZE,Gender wage gap at median,2019,14.7,203
DNK,Gender wage gap at median,2005,10.2,208
DNK,Gender wage gap at median,2010,8.9,208
DNK,Gender wage gap at median,2015,5.8,208
DNK,Gender wage gap at median,2016,5.7,208
DNK,Gender wage gap at median,2017,5.3,208
DNK,Gender wage gap at median,2018,4.9,208
FIN,Gender wage gap at median,2000,20.4,246
FIN,Gender wage gap at median,2005,18.9,246
FIN,Gender wage gap at median,2010,18.9,246
FIN,Gender wage gap at median,2015,18.1,246
FIN,Gender wage gap at median,2016,16.5,246
FIN,Gender wage gap at median,2017,17.7,246
FIN,Gender wage gap at median,2018,18.9,246
FRA,Gender wage gap at median,2000,14.6,250
FRA,Gender wage gap at median,2005,14.4,250
FRA,Gender wage gap at median,2010,9.0,250
FRA,Gender wage gap at median,2015,13.0,250
FRA,Gender wage gap at median,2016,13.7,250
DEU,Gender wage gap at median,2000,19.6,276
DEU,Gender wage gap at median,2005,16.3,276
DEU,Gender wage gap at median,2010,16.7,276
DEU,Gender wage gap at median,2015,15.8,276
DEU,Gender wage gap at median,2016,15.5,276
DEU,Gender wage gap at median,2017,16.2,276
DEU,Gender wage gap at median,2018,15.3,276
GRC,Gender wage gap at median,2005,16.7,300
GRC,Gender wage gap at median,2010,9.9,300
GRC,Gender wage gap at median,2015,6.3,300
GRC,Gender wage gap at median,2016,4.5,300
GRC,Gender wage gap at median,2017,4.5,300
GRC,Gender wage gap at median,2018,5.9,300
HUN,Gender wage gap at median,2000,14.1,348
HUN,Gender wage gap at median,2005,4.0,348
HUN,Gender wage gap at median,2010,6.4,348
HUN,Gender wage gap at median,2015,9.5,348
HUN,Gender wage gap at median,2016,9.4,348
ISL,Gender wage gap at median,2005,13.2,352
ISL,Gender wage gap at median,2010,16.4,352
ISL,Gender wage gap at median,2015,9.9,352
ISL,Gender wage gap at median,2016,11.5,352
JPN,Gender wage gap at median,2000,33.9,392
JPN,Gender wage gap at median,2005,32.8,392
JPN,Gender wage gap at median,2010,28.7,392
JPN,Gender wage gap at median,2015,25.7,392
JPN,Gender wage gap at median,2016,24.6,392
JPN,Gender wage gap at median,2017,24.5,392
JPN,Gender wage gap at median,2018,23.5,392
JPN,Gender wage gap at median,2019,23.5,392
KOR,Gender wage gap at median,2000,41.7,410
KOR,Gender wage gap at median,2005,39.6,410
KOR,Gender wage gap at median,2010,39.6,410
KOR,Gender wage gap at median,2015,37.2,410
KOR,Gender wage gap at median,2016,36.7,410
KOR,Gender wage gap at median,2017,34.6,410
KOR,Gender wage gap at median,2018,34.1,410
KOR,Gender wage gap at median,2019,32.5,410
MEX,Gender wage gap at median,2005,16.7,484
MEX,Gender wage gap at median,2010,11.6,484
MEX,Gender wage gap at median,2015,16.7,484
MEX,Gender wage gap at median,2016,16.5,484
MEX,Gender wage gap at median,2017,11.1,484
MEX,Gender wage gap at median,2018,14.0,484
MEX,Gender wage gap at median,2019,18.8,484
NZL,Gender wage gap at median,2000,7.2,554
NZL,Gender wage gap at median,2005,9.6,554
NZL,Gender wage gap at median,2010,7.0,554
NZL,Gender wage gap at median,2015,7.9,554
NZL,Gender wage gap at median,2016,7.8,554
NZL,Gender wage gap at median,2017,7.2,554
NZL,Gender wage gap at median,2018,7.9,554
NZL,Gender wage gap at median,2019,6.5,554
NOR,Gender wage gap at median,2000,11.2,578
NOR,Gender wage gap at median,2005,10.4,578
NOR,Gender wage gap at median,2010,8.4,578
NOR,Gender wage gap at median,2015,7.5,578
NOR,Gender wage gap at median,2016,6.8,578
NOR,Gender wage gap at median,2017,6.4,578
NOR,Gender wage gap at median,2018,5.8,578
NOR,Gender wage gap at median,2019,5.0,578
PRT,Gender wage gap at median,2005,16.0,620
PRT,Gender wage gap at median,2010,16.0,620
PRT,Gender wage gap at median,2015,18.9,620
PRT,Gender wage gap at median,2016,14.3,620
PRT,Gender wage gap at median,2017,14.8,620
PRT,Gender wage gap at median,2018,11.7,620
SVK,Gender wage gap at median,2005,20.1,703
SVK,Gender wage gap at median,2010,14.9,703
SVK,Gender wage gap at median,2015,13.4,703
SVK,Gender wage gap at median,2016,13.9,703
SVK,Gender wage gap at median,2017,15.0,703
SVK,Gender wage gap at median,2018,15.7,703
SVK,Gender wage gap at median,2019,13.9,703
SWE,Gender wage gap at median,2000,12.4,752
SWE,Gender wage gap at median,2005,11.3,752
SWE,Gender wage gap at median,2010,9.4,752
SWE,Gender wage gap at median,2015,8.3,752
SWE,Gender wage gap at median,2016,8.2,752
SWE,Gender wage gap at median,2017,7.3,752
SWE,Gender wage gap at median,2018,7.1,752
SWE,Gender wage gap at median,2019,7.6,752
GBR,Gender wage gap at median,2000,26.3,826
GBR,Gender wage gap at median,2005,22.1,826
GBR,Gender wage gap at median,2010,19.2,826
GBR,Gender wage gap at median,2015,17.1,826
GBR,Gender wage gap at median,2016,16.8,826
GBR,Gender wage gap at median,2017,16.5,826
GBR,Gender wage gap at median,2018,16.3,826
GBR,Gender wage gap at median,2019,16.0,826
USA,Gender wage gap at median,2000,23.1,840
USA,Gender wage gap at median,2005,19.0,840
USA,Gender wage gap at median,2010,18.8,840
USA,Gender wage gap at median,2015,18.9,840
USA,Gender wage gap at median,2016,18.1,840
USA,Gender wage gap at median,2017,18.2,840
USA,Gender wage gap at median,2018,18.9,840
USA,Gender wage gap at median,2019,18.5,840
COL,Gender wage gap at median,2010,6.4,170
COL,Gender wage gap at median,2015,11.1,170
COL,Gender wage gap at median,2016,7.1,170
COL,Gender wage gap at median,2017,7.7,170
COL,Gender wage gap at median,2018,5.8,170
COL,Gender wage gap at median,2019,4.0,170
CRI,Gender wage gap at median,2010,0.0,188
CRI,Gender wage gap at median,2015,3.7,188
CRI,Gender wage gap at median,2016,1.8,188
CRI,Gender wage gap at median,2017,3.0,188
CRI,Gender wage gap at median,2018,4.7,188
ISR,Gender wage gap at median,2005,21.9,376
ISR,Gender wage gap at median,2010,20.4,376
ISR,Gender wage gap at median,2015,20.4,376
ISR,Gender wage gap at median,2016,21.6,376
ISR,Gender wage gap at median,2017,21.8,376
ISR,Gender wage gap at median,2018,22.7,376
HUN,Gender wage gap at 1st decile (bottom),2017,0.0,348
HUN,Gender wage gap at 1st decile (bottom),2018,-1.2,348
HUN,Gender wage gap at 9th decile (top),2017,23.2,348
